prod_id
13075
14576
17846
18413
1920
23250
2396
33351
33356
39297
44560
45404
46337
47593
47612
50177
54130
59019
59146
6100
6310
6453
10102
11920
12902
13690
14560
14568
15057
19302
22140
3252
32845
32937
3312
33124
34069
34073
3640
36414
3656
54731
56875
57944
59435
7328
7730
7802
8103
9697
